ENTITY	Currency	Alphabetic Code	Numeric Code	Minor unit
AFGHANISTAN	Afghani	AFA	4		2
ALBANIA	Lek	ALL	8		2
ALGERIA	Algerian Dinar	DZD	12		2
AMERICAN SAMOA	US Dollar	USD	840		2
ANDORRA	Spanish Peseta	ESP	724		0
ANDORRA	French Franc	ESP	250		2
ANDORRA	Andorran Peseta	ADP	20		0
ANGOLA	Kwanza	AOA	973		2
ANGUILLA	East Caribbean Dollar	XCD	951		2
ANTARCTICA	No universal currency
ANTIGUA AND BARBUDA	East Caribbean Dollar	XCD	951		2
ARGENTINA	Argentine Peso	ARS	32		2
ARMENIA	Armenian Dram	AMD	51		2
ARUBA	Aruban Guilder	AWG	533		2
AUSTRALIA	Australian Dollar	AUD	36		2
AUSTRIA	Schilling	ATS	40		2
AZERBAIJAN	Azerbaijanian Manat	AZM	31		2
BAHAMAS	Bahamian Dollar	BSD	44		2
BAHRAIN	Bahraini Dinar	BHD	48		3
BANGLADESH	Taka	BDT	50		2
BARBADOS	Barbados Dollar	BBD	52		2
BELARUS	Belarussian Ruble	BYB	112		0
BELARUS	Belarussian Ruble	BYR	974		0
BELGIUM	Belgian Franc	BEF	56		0
BELIZE	Belize Dollar	BZD	84		2
BENIN	CFA Franc BCEAO	XOF	952		0
BERMUDA	Bermudian Dollar (customarily known as Bermuda Dollar)	BMD	60		2
BHUTAN	Indian Rupee	INR	356		2
BHUTAN	Ngultrum	BTN	64		2
BOLIVIA	Boliviano	BOB	68		2
BOLIVIA	Mvdol	BOV	984		2
BOSNIA & HERZEGOVINA	Convertible Marks	BAM	977		2
BOTSWANA	Pula	BWP	72		2
BOUVET ISLAND	Norwegian Krone	NOK	578		2
BRAZIL	Brazilian Real	BRL	986		2
BRITISH INDIAN OCEAN TERRITORY	US Dollar	USD	840		2
BRUNEI DARUSSALAM	Brunei Dollar	BND	96		2
BULGARIA	Lev	BGL	100		2
BULGARIA	Lev	BGN	975		2
BURKINA FASO	CFA Franc BCEAO	XOF	952		0
BURUNDI	Burundi Franc	BIF	108		0
CAMBODIA	Riel	KHR	116		2
CAMEROON	CFA Franc BEAC	XAF	950		0
CANADA	Canadian Dollar	CAD	124		2
CAPE VERDE	Cape Verde Escudo	CVE	132		2
CAYMAN ISLANDS	Cayman Islands Dollar	KYD	136		2
CENTRAL AFRICAN REPUBLIC	CFA Franc BEAC	XAF	950		0
CHAD	CFA Franc BEAC	XAF	950		0
CHILE	Chilean Peso	CLP	152		0
CHILE	Unidades de fomento	CLF	990		0
CHINA	Yuan Renminbi	CNY	156		2
CHRISTMAS ISLAND	Australian Dollar	AUD	36		2
COCOS (KEELING) ISLANDS	Australian Dollar	AUD	36		2
COLOMBIA	Colombian Peso	COP	170		2
COMOROS	Comoro Franc	KMF	174		0
CONGO	CFA Franc BEAC	XAF	950		0
CONGO, THE DEMOCRATIC REPUBLIC OF	Franc Congolais	CDF	976		2
COOK ISLANDS	New Zealand Dollar	NZD	554		2
COSTA RICA	Costa Rican Colon	CRC	188		2
CÔTE D'IVOIRE	CFA Franc BCEAO	XOF	952		0
CROATIA	Croatian kuna	HRK	191		2
CUBA	Cuban Peso	CUP	192		2
CYPRUS	Cyprus Pound	CYP	196		2
CZECH REPUBLIC	Czech Koruna	CZK	203		2
DENMARK	Danish Krone	DKK	208		2
DJIBOUTI	Djibouti Franc	DJF	262		0
DOMINICA	East Caribbean Dollar	XCD	951		2
DOMINICAN REPUBLIC	Dominican Peso	DOP	214		2
EAST TIMOR	Timor Escudo	TPE	626		0
EAST TIMOR	Rupiah	IDR	360		2
ECUADOR	US Dollar	USD	840		2
EGYPT	Egyptian Pound	EGP	818		2
EL SALVADOR	El Salvador Colon	SVC	222		2
EQUATORIAL GUINEA	CFA Franc BEAC	XAF	950		0
ERITREA	Nakfa	ERN	232		2
ESTONIA	Kroon	EEK	233		2
ETHIOPIA	Ethiopian Birr	ETB	230		2
	Euro	EUR	978		2
FAROE ISLANDS	Danish Krone	DKK	208		2
FALKLAND ISLANDS (MALVINAS)	Falkland Islands Pound	FKP	238		2
FIJI	Fiji Dollar	FJD	242		2
FINLAND	Markka	FIM	246		2
FRANCE	French Franc	FRF	250		2
FRENCH GUIANA	French Franc	FRF	250		2
FRENCH POLYNESIA	CFP Franc	XPF	953		0
FRENCH SOUTHERN TERRITORIES	French Franc	FRF	250		2
GABON	CFA Franc BEAC	XAF	950		0
GAMBIA	Dalasi	GMD	270		2
GEORGIA	Lari	GEL	981		2
GERMANY	Deutsche Mark	DEM	276		2
GHANA	Cedi	GHC	288		2
GIBRALTAR	Gibraltar Pound	GIP	292		2
GREECE	Drachma	GRD	300		0
GREENLAND	Danish Krone	DKK	208		2
GRENADA	East Caribbean Dollar	XCD	951		2
GUADELOUPE	French Franc	FRF	250		2
GUAM	US Dollar	USD	840		2
GUATEMALA	Quetzal	GTQ	320		2
GUINEA	Guinea Franc	GNF	324		0
GUINEA-BISSAU	Guinea-Bissau Peso	GWP	624		2
GUINEA-BISSAU	CFA Franc BCEAO	XOF	952		0
GUYANA	Guyana Dollar	GYD	328		2
HAITI	Gourde	HTG	332		2
HAITI	US Dollar	USD	840		2
HEARD ISLAND AND McDONALD ISLANDS	Australian Dollar	AUD	36		2
HOLY SEE (VATICAN CITY STATE)	Italian Lira	ITL	380		0
HONDURAS	Lempira	HNL	340		2
HONG KONG	Hong Kong Dollar	HKD	344		2
HUNGARY	Forint	HUF	348		2
ICELAND	Iceland Krona	ISK	352		2
INDIA	Indian Rupee	INR	356		2
INDONESIA	Rupiah	IDR	360		2
INTERNATIONAL MONETARY FUND (I.M.F)	SDR	XDR	960		N.A.
IRAN (ISLAMIC REPUBLIC OF)	Iranian Rial	IRR	364		2
IRAQ	Iraqi Dinar	IQD	368		3
IRELAND	Irish Pound	IEP	372		2
ISRAEL	New Israeli Sheqel	ILS	376		2
ITALY	Italian Lira	ITL	380		0
JAMAICA	Jamaican Dollar	JMD	388		2
JAPAN	Yen	JPY	392		0
JORDAN	Jordanian Dinar	JOD	400		3
KAZAKSTAN	Tenge	KZT	398		2
KENYA	Kenyan Shilling	KES	404		2
KIRIBATI	Australian Dollar	AUD	36		2
KOREA, DEMOCRATIC PEOPLE’S REPUBLIC OF	North Korean Won	KPW	408		2
KOREA, REPUBLIC OF	Won	KRW	410		0
KUWAIT	Kuwaiti Dinar	KWD	414		3
KYRGYZSTAN	Som	KGS	417		2
LAO PEOPLE’S DEMOCRATIC REPUBLIC	Kip	LAK	418		2
LATVIA	Latvian Lats	LVL	428		2
LEBANON	Lebanese Pound	LBP	422		2
LESOTHO	Rand	ZAR	710		2
LESOTHO	Loti	LSL	426		2
LIBERIA	Liberian Dollar	LRD	430		2
LIBYAN ARAB JAMAHIRIYA	Libyan Dinar	LYD	434		3
LIECHTENSTEIN	Swiss Franc	CHF	756		2
LITHUANIA	Lithuanian Litus	LTL	440		2
LUXEMBOURG	Luxembourg Franc	LUF	442		0
MACAU	Pataca	MOP	446		2
MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF	Denar	MKD	807		2
MADAGASCAR	Malagasy Franc	MGF	450		0
MALAWI	Kwacha	MWK	454		2
MALAYSIA	Malaysian Ringgit	MYR	458		2
MALDIVES	Rufiyaa	MVR	462		2
MALI	CFA Franc BCEAO	XOF	952		0
MALTA	Maltese Lira	MTL	470		2
MARSHALL ISLANDS	US Dollar	USD	840		2
MARTINIQUE	French Franc	FRF	250		2
MAURITANIA	Ouguiya	MRO	478		2
MAURITIUS	Mauritius Rupee	MUR	480		2
MEXICO	Mexican Peso	MXN	484		2
MEXICO	Mexican Unidad de Inversion (UDI)	MXV	979		2
MICRONESIA (FEDERATED STATES OF)	US Dollar	USD	840		2
MOLDOVA, REPUBLIC OF	Moldovan Leu	MDL	498		2
MONACO	French Franc	FRF	250		2
MONGOLIA	Tugrik	MNT	496		2
MONTSERRAT	East Caribbean Dollar	XCD	951		2
MOROCCO	Moroccan Dirham	MAD	504		2
MOZAMBIQUE	Metical	MZM	508		2
MYANMAR	Kyat	MMK	104		2
NAMIBIA	Rand	ZAR	710		2
NAMIBIA	Namibia Dollar	NAD	516		2
NAURU	Australian Dollar	AUD	36		2
NEPAL	Nepalese Rupee	NPR	524		2
NETHERLANDS	Netherlands Guilder	NLG	528		2
NETHERLANDS ANTILLES	Netherlands Antillian Guilder	ANG	532		2
NEW CALEDONIA	CFP Franc	XPF	953		0
NEW ZEALAND	New Zealand Dollar	NZD	554		2
NICARAGUA	Cordoba Oro	NIO	558		2
NIGER	CFA Franc BCEAO	XOF	952		0
NIGERIA	Naira	NGN	566		2
NIUE	New Zealand Dollar	NZD	554		2
NORFOLK ISLAND	Australian Dollar	AUD	36		2
NORTHERN MARIANA ISLANDS	US Dollar	USD	840		2
NORWAY	Norwegian Krone	NOK	578		2
OMAN	Rial Omani	OMR	512		3
PAKISTAN	Pakistan Rupee	PKR	586		2
PALAU	US Dollar	USD	840		2
PANAMA	Balboa	PAB	590		2
PANAMA	US Dollar	USD	840		2
PAPUA NEW GUINEA	Kina	PGK	598		2
PARAGUAY	Guarani	PYG	600		0
PERU	Nuevo Sol	PEN	604		2
PHILIPPINES	Philippine Peso	PHP	608		2
PITCAIRN	New Zealand Dollar	NZD	554		2
POLAND	Zloty	PLN	985		2
PORTUGAL	Portuguese Escudo	PTE	620		0
PUERTO RICO	US Dollar	USD	840		2
QATAR	Qatari Rial	QAR	634		2
RÉUNION	French Franc	FRF	250		2
ROMANIA	Leu	ROL	642		2
RUSSIAN FEDERATION	Russian Ruble	RUR	810		2
RUSSIAN FEDERATION	Russian Ruble	RUB	643		2
RWANDA	Rwanda Franc	RWF	646		0
SAINT HELENA	Saint Helena Pound	SHP	654		2
SAINT KITTS AND NEVIS	East Caribbean Dollar	XCD	951		2
SAINT LUCIA	East Caribbean Dollar	XCD	951		2
SAINT PIERRE AND MIQUELON	French Franc	FRF	250		2
SAINT VINCENT AND THE GRENADINES	East Caribbean Dollar	XCD	951		2
SAMOA	Tala	WST	882		2
SAN MARINO	Italian Lira	ITL	380		0
SÃO TOME AND PRINCIPE	Dobra	STD	678		2
SAUDI ARABIA	Saudi Riyal	SAR	682		2
SENEGAL	CFA Franc BCEAO	XOF	952		0
SEYCHELLES	Seychelles Rupee	SCR	690		2
SIERRA LEONE	Leone	SLL	694		2
SINGAPORE	Singapore Dollar	SGD	702		2
SLOVAKIA	Slovak Koruna	SKK	703		2
SLOVENIA	Tolar	SIT	705		2
SOLOMON ISLANDS	Solomon Islands Dollar	SBD	90		2
SOMALIA	Somali Shilling	SOS	706		2
SOUTH AFRICA	Rand	ZAR	710		2
SPAIN	Spanish Peseta	ESP	724		0
SRI LANKA	Sri Lanka Rupee	LKR	144		2
SUDAN	Sudanese Dinar	SDD	736		2
SURINAME	Suriname Guilder	SRG	740		2
SVALBARD AND JAN MAYEN	Norwegian Krone	NOK	578		2
SWAZILAND	Lilangeni	SZL	748		2
SWEDEN	Swedish Krona	SEK	752		2
SWITZERLAND	Swiss Franc	CHF	756		2
SYRIAN ARAB REPUBLIC	Syrian Pound	SYP	760		2
TAIWAN, PROVINCE OF CHINA	New Taiwan Dollar	TWD	901		2
TAJIKISTAN	Tajik Ruble	TJR	762		0
TANZANIA, UNITED REPUBLIC OF	Tanzanian Shilling	TZS	834		2
THAILAND	Baht	THB	764		2
TOGO	CFA Franc BCEAO	XOF	952		0
TOKELAU	New Zealand Dollar	NZD	554		2
TONGA	Pa’anga	TOP	776		2
TRINIDAD AND TOBAGO	Trinidad and Tobago Dollar	TTD	780		2
TUNISIA	Tunisian Dinar	TND	788		3
TURKEY	Turkish Lira	TRL	792		0
TURKMENISTAN	Manat	TMM	795		2
TURKS AND CAICOS ISLANDS	US Dollar	USD	840		2
TUVALU	Australian Dollar	AUD	36		2
UGANDA	Uganda Shilling	UGX	800		2
UKRAINE	Hryvnia	UAH	980		2
UNITED ARAB EMIRATES	UAE Dirham	AED	784		2
UNITED KINGDOM	Pound Sterling	GBP	826		2
UNITED STATES	US Dollar	USD	840		2
UNITED STATES	US Dollar (Same day)	USS 	998		2
UNITED STATES	US Dollar (Next day)	USN	997		2
UNITED STATES MINOR OUTLYING ISLANDS	US Dollar	USD	840		2
URUGUAY	Peso Uruguayo	UYU	858		2
UZBEKISTAN	Uzbekistan Sum	UZS	860		2
VANUATU	Vatu	VUV	548		0
VENEZUELA	Bolivar	VEB	862		2
VIET NAM	Dong	VND	704		2
VIRGIN ISLANDS (BRITISH)	US Dollar	USD	840		2
VIRGIN ISLANDS (US)	US Dollar	USD	840		2
WALLIS AND FUTUNA	CFP Franc	XPF	953		0
WESTERN SAHARA	Moroccan Dirham	MAD	504		2
YEMEN	Yemeni Rial	YER	886		2
YUGOSLAVIA	Yugoslavian Dinar	YUM	891		2
ZAMBIA	Kwacha	ZMK	894		2
ZIMBABWE	Zimbabwe Dollar	ZWD	716		2
N.A.	Gold	XAU	959		N.A.
N.A.	Palladium	XPD	964		N.A.
N.A.	Platinum	XPT	962		N.A.
N.A.	Silver	XAG	961		N.A.
N.A.	Bond Markets Units, European Composite Unit (EURCO)	XBA	955		N.A.
N.A.	Bond Markets Units, European Monetary Unit (E.M.U.-6)	XBB	956		N.A.
N.A.	Bond Markets Units, European Unit of Account 9 (E.U.A.-9)	XBC	957		N.A.
N.A.	Bond Markets Units, European Unit of Account 17 (E.U.A.-17)	XB5	958		N.A.
N.A.	UIC-Franc	XFU	Nil		N.A.
N.A.	Gold-Franc	XFO	Nil		N.A.
N.A.	Codes specifically reserved for testing purposes	XTS	963		N.A.
N.A.	Codes assigned for transactions where no currency is involved	XXX	999		N.A.
